panes	interval_s	duration_s	user_cpu_s	sys_cpu_s	samples_total
1	0.25	20	4.50	12.79	237
1	1	20	1.28	3.51	60
1	2	20	0.69	1.83	30
5	0.25	20	7.15	21.16	395
5	1	20	2.08	6.03	100
5	2	20	1.04	2.95	50
